labels	text
1	i am aware of course. anything i can do for you!
0	im gutted, went to see about gettin tickets for proms in the park at hillsborough castle and they are all sold out, *sob sob* not fair!
1	it hates you too
1	goooooooooooooooooooooooood morning rise and shine everyone
0	work in 30 min and feelin sick not good.
1	one walking very close to her, she had to go on the road to get past him, seemed quite unnecessary! she had a go at him
1	yeah im uploading now gonna take like 10mins or so
0	- a your eyes so droopy.
1	spank me. teach me a harsh lesson
1	my dog is having her puppies!
0	back to bed.
1	yes, and someday my jasper e. like maybe monday. xd
1	suffocate.mp3 this was the song that gave me hellla memories .promise.
0	our air conditioner isn not working.again. i am dying from the heat. pants heavily.
0	the picture wont upload it says it is to big, even though i croped and croped it.help!
0	bummed next time , next time for sure
1	soccer lunch break
0	oh no. where is whistlestop gone from reading station! i go away for a week and they close my emergency wine shop
0	sweet niblets! i tought he looks like joe
1	i am coding for my website, this is my summer project for the most part. will show you all when it is ready, hope you will like it
1	omg i did the same exact thing this morning! try a yumtastic donut and a lovely dose of ibuprofin ;p
0	so tired, just arrived from training , but still wanna watch a movie =d
1	freakin awsome
0	my last sunday here before i go to spain.next saturday can not wait though!
0	ej is team lost . it happens can not win then all. fun filled weekend ahead still!
0	i will be in stl next weekend.
1	is officially in san diego
1	should have decided what movie to watch so much earlier than i did. off to bed now! niight night! xxx
1	and thank you for the re-follow!
1	will finish work reports today. wondering if most people think before they act! doubt it. must work on being less righteous
0	no sun in gp today! i was really hoping to be by the pool all day!
0	the seriously unhappy birthday girl is going to bed now
1	tequitos at 10 in the morning on im ba
0	hey guys we miss u so much we are so sad make a full service tour in europe.kisses from france
0	free ! they sent her to twitter jail just wen shit was getting good!
1	that is what i call weekend
0	finally! im goin to bed. and,i miss my home
0	oh its just weird.i went around an industrial area and i ran into the curb a couple of times
0	watched smallville 8x18 last nite ep could have been so much more but yet again the decisions made fail to impress
0	i haven not been able to get my disc to play yet
0	he passed i didnt know until today
0	.really &quot;every nite eye dream about you, ever since the day we said goodbye.&quot;
1	i just got the album today because i pre-ordered it and i love it. i am blasting it right now haha. it is great. ily guys
1	second attempt:hi stefan!you�re so pretty!
1	get the sims. get it get it. seriously, i played it properly this morning. it is epic.
0	: aw i shorry
